model_type,iteration,state_id,phase,semantic_move_category,move_count,policy_probability_mass,mcts_search_probability_mass,semantic_search_lift,playouts,interpretation,checkpoint_sha256,base_kg_manifest_sha256,evidence_manifest_sha256
rgat,0,74c55e1c7c911cc9,late,exact_optimal,24,1.0000000409781933,0.9999999776482582,-6.332993507385254e-08,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
rgat,0,74c55e1c7c911cc9,late,threat_creating,2,0.08663929998874664,0.07999999821186066,-0.006639301776885986,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
rgat,0,4dca2566ec2be9b6,late,exact_optimal,1,0.04614845663309097,0.5600000023841858,0.5138515457510948,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
rgat,0,4dca2566ec2be9b6,late,proof_supported,1,0.04614845663309097,0.5600000023841858,0.5138515457510948,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
rgat,0,4dca2566ec2be9b6,late,threat_creating,20,0.9538515917956829,0.4399999901652336,-0.5138516016304493,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
rgat,0,4dca2566ec2be9b6,late,blocking,1,0.04614845663309097,0.5600000023841858,0.5138515457510948,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
rgat,0,4dca2566ec2be9b6,late,forced_response,1,0.04614845663309097,0.5600000023841858,0.5138515457510948,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
rgat,0,42be4c9c478fcf87,mid,exact_optimal,27,1.0000000186264515,0.9999999776482582,-4.0978193283081055e-08,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
rgat,0,42be4c9c478fcf87,mid,proof_supported,1,0.03675078600645065,0.019999999552965164,-0.01675078645348549,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
rgat,0,42be4c9c478fcf87,mid,threat_creating,4,0.14816030487418175,0.1599999964237213,0.011839691549539566,50,observational_fixed_budget,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
